Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVIND24Logic.json	1174	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	54	20	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND25Logic.json	1110	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	75	86	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND27Logic.json	1100	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	63	21	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND28Logic.json	1218	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	79	22	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND29Logic.json	1096	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	67	20	0	0	0	0	4	0	0
fsh-generated/resources/Library-HIVIND2Logic.json	1074	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	71	12	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND30Logic.json	1053	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	47	12	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND31Logic.json	1082	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	46	12	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND32Logic.json	1092	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	57	12	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND33Logic.json	1123	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	11	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND34Logic.json	1131	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	49	14	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND35Logic.json	1057	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	79	13	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND37Logic.json	1085	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	47	11	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND38Logic.json	1109	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	11	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND39Logic.json	1057	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	41	16	0	0	0	0	3	0	0
fsh-generated/resources/Library-HIVIND3Logic.json	1094	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	77	12	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND40Logic.json	1099	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	12	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND41Logic.json	1106	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	43	11	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND42Logic.json	1067	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	43	11	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND43Logic.json	1104	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	11	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND44Logic.json	1095	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	42	11	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND45Logic.json	1128	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	48	12	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND46Logic.json	1147	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	12	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND47Logic.json	1080	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	47	15	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND48Logic.json	1078	3	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	69	12	0	0	0	0	2	0	0
fsh-generated/resources/Library-HIVIND49Logic.json	1113	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	11	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVIND4Logic.json	1037	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	52	12	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND50Logic.json	1118	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	50	11	0	0	0	0	1	0	0
fsh-generated/resources/Library-HIVIND51Logic.json	1112	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	11	0	0	0	0	0	0	0
